ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{4D4D8A8E-D2F7-4161-97EA-3E4628528039},95000,1995-03-06 00:00,SW1Y 6AA,F,Y,L,"GEORGIAN HOUSE, 10",FLAT 11,BURY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1938.77551020408,1995.0,1995-03-06,F,L,95000.0,SW1Y 6AA,E09000033,{4D4D8A8E-D2F7-4161-97EA-3E4628528039},21893848.0,49.0,2.0,11.0,74.0,81.0,England and Wales: 1900-1929,1938.77551020408,2.0,49.0,74.0,England and Wales: 1900-1929,SW1Y
{7E36CE61-B074-42D2-8484-27B7C370B77B},59000,1995-06-19 00:00,SW1Y 4EH,F,N,L,HUGUENOT HOUSE,FLAT 23,OXENDON STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1255.31914893617,1995.0,1995-06-19,F,L,59000.0,SW1Y 4EH,E09000033,{7E36CE61-B074-42D2-8484-27B7C370B77B},21845028.0,47.0,2.0,11.0,58.0,70.0,England and Wales: 1967-1975,1255.31914893617,2.0,47.0,58.0,England and Wales: 1967-1975,SW1Y
{1AA5A263-24F5-4B2D-802D-B49C8B621255},230000,1995-05-23 00:00,SW1Y 6BL,F,N,L,"DALMENY COURT, 8",FLAT 2,DUKE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,4791.66666666667,1995.0,1995-05-23,F,L,230000.0,SW1Y 6BL,E09000033,{1AA5A263-24F5-4B2D-802D-B49C8B621255},21847470.0,48.0,2.0,11.0,50.0,78.0,England and Wales: before 1900,4791.66666666667,2.0,48.0,50.0,England and Wales: before 1900,SW1Y
{2DD96A25-BD51-4736-BFCE-F762273AEFDF},540000,1995-09-12 00:00,SW1Y 5AP,F,N,L,24,FLAT 4,CARLTON HOUSE TERRACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3857.14285714286,1995.0,1995-09-12,F,L,540000.0,SW1Y 5AP,E09000033,{2DD96A25-BD51-4736-BFCE-F762273AEFDF},21817491.0,140.0,4.0,11.0,82.0,85.0,England and Wales: 1976-1982,3857.14285714286,4.0,140.0,82.0,England and Wales: 1976-1982,SW1Y
{3B0FD150-BEDC-417C-A562-F0902D2E5242},350000,1995-08-31 00:00,SW1Y 4JH,F,N,L,22,FLAT 21,ST JAMES'S SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2556.23721881391,1995.0,1995-08-31,F,L,350000.0,SW1Y 4JH,E09000033,{3B0FD150-BEDC-417C-A562-F0902D2E5242},21856087.0,136.92,3.0,12.0,49.0,52.0,England and Wales: 1950-1966,2556.23721881391,3.0,136.92,49.0,England and Wales: 1950-1966,SW1Y
{2686E69A-3534-4047-9E03-0BD4BA0AD578},101500,1995-10-31 00:00,SW1Y 6AA,F,N,L,"GEORGIAN HOUSE, 10",FLAT 3,BURY STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2159.57446808511,1995.0,1995-10-31,F,L,101500.0,SW1Y 6AA,E09000033,{2686E69A-3534-4047-9E03-0BD4BA0AD578},21819620.0,47.0,2.0,11.0,60.0,71.0,England and Wales: before 1900,2159.57446808511,2.0,47.0,60.0,England and Wales: before 1900,SW1Y
{83844C64-4334-48FD-872F-59651B083922},330000,1995-11-30 00:00,SW1Y 6HR,F,N,L,"BANK CHAMBERS, 25",FLAT 16,JERMYN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3142.85714285714,1995.0,1995-11-30,F,L,330000.0,SW1Y 6HR,E09000033,{83844C64-4334-48FD-872F-59651B083922},21850035.0,105.0,3.0,11.0,59.0,70.0,England and Wales: 1983-1990,3142.85714285714,3.0,105.0,59.0,England and Wales: 1983-1990,SW1Y
{17145BEF-9C16-44AF-9182-C18531589C4C},235000,1995-09-15 00:00,SW1Y 4JH,F,N,L,22,FLAT 6,ST JAMES'S SQUARE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1812.71212588707,1995.0,1995-09-15,F,L,235000.0,SW1Y 4JH,E09000033,{17145BEF-9C16-44AF-9182-C18531589C4C},21889997.0,129.64,4.0,12.0,65.0,68.0,England and Wales: 1950-1966,1812.71212588707,4.0,129.64,65.0,England and Wales: 1950-1966,SW1Y
{59F73F9D-3515-4F64-A972-A9315557A734},165000,1995-11-23 00:00,SW1Y 6BL,F,N,L,"DALMENY COURT, 8",FLAT 2,DUKE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,3437.5,1995.0,1995-11-23,F,L,165000.0,SW1Y 6BL,E09000033,{59F73F9D-3515-4F64-A972-A9315557A734},21847470.0,48.0,2.0,11.0,50.0,78.0,England and Wales: before 1900,3437.5,2.0,48.0,50.0,England and Wales: before 1900,SW1Y
{4936A5F5-C9AC-4C6F-88EA-90D1C3448B21},356850,1995-10-25 00:00,SW1Y 6HR,F,N,L,"BANK CHAMBERS, 25",FLAT 42,JERMYN STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2877.82258064516,1995.0,1995-10-25,F,L,356850.0,SW1Y 6HR,E09000033,{4936A5F5-C9AC-4C6F-88EA-90D1C3448B21},21869348.0,124.0,5.0,11.0,51.0,60.0,England and Wales: before 1900,2877.82258064516,5.0,124.0,51.0,England and Wales: before 1900,SW1Y
{5A296E37-38E0-4389-9F22-14D9BA785144},230000,1995-05-23 00:00,SW1Y 6BL,F,N,L,"DALMENY COURT, 8",FLAT 1,DUKE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5679.01234567901,1995.0,1995-05-23,F,L,230000.0,SW1Y 6BL,E09000033,{5A296E37-38E0-4389-9F22-14D9BA785144},21849144.0,40.5,2.0,12.0,36.0,66.0,England and Wales: 1900-1929,5679.01234567901,2.0,40.5,36.0,England and Wales: 1900-1929,SW1Y
