ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{43A348C3-222B-41B9-ABD3-5379F4FC6C79},82000,1995-01-03 00:00,DA6 8JS,S,F,22B,,MOUNT ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,803.921568627451,5.0,102.0,53.0,1949.0,DA6,1995,23027,5,Bexleyheath,1.29792,60200,8,1b,2.88867708358045
{D71E252E-F217-4D87-A540-EDA7952C4419},79500,1995-01-16 00:00,DA6 8AQ,S,F,8,,HARCOURT ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,673.728813559322,5.0,118.0,53.0,1949.0,DA6,1995,24683,5,Bexleyheath,0.507165,57100,8,5,23.4241222138985
{8389107A-E4C1-43E1-9C28-33872ACFD51F},81450,1995-01-16 00:00,DA6 7AJ,S,F,62,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1380.50847457627,3.0,59.0,51.0,1949.0,DA6,1995,15534,5,Bexleyheath,0.991847,57100,5,2,9.23557484127098
{767D5514-8E41-4389-AB9E-C5CF733A9459},59995,1995-01-19 00:00,DA6 7NY,S,F,52,,BROOM MEAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,486.972402597403,6.0,123.2,49.0,1966.0,DA6,1995,21389,6,Bexley,0.9859,61900,7,2,5.20368809439052
{350B4621-D34F-482E-97E5-5FA87F833431},69000,1995-01-20 00:00,DA6 8JU,S,F,43,,GROSVENOR ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1045.45454545455,3.0,66.0,59.0,1949.0,DA6,1995,23027,5,Bexleyheath,1.36097,60200,8,1b,3.06671752704528
{D136D861-6976-42DD-8726-216F9F70C9F8},103000,1995-01-20 00:00,DA6 7HN,T,F,44,,TOWNLEY ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,858.333333333333,5.0,120.0,60.0,1949.0,DA6,1995,21457,5,Bexleyheath,1.24276,57100,7,1b,3.44462466423041
{2A289E9C-E308-CDC8-E050-A8C063054829},40000,1995-01-27 00:00,DA6 8PF,F,L,64,,LION ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,769.230769230769,2.0,52.0,58.0,1929.0,DA6,1995,25379,5,Bexleyheath,1.00442,60200,8,3,13.5591077483594
{A8612ACF-3E21-4742-8D64-6388F8FEDED2},65000,1995-01-27 00:00,DA6 8PQ,S,F,108,,LION ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,677.083333333333,5.0,96.0,48.0,1900.0,DA6,1995,25379,5,Bexleyheath,1.16779,60200,8,3,12.4706456515324
{2A289E9C-E3AD-CDC8-E050-A8C063054829},45000,1995-02-07 00:00,DA6 7QJ,T,F,9,,WATLING STREET,,BEXLEYHEATH,BEXLEY,GREATER LONDON,706.436420722135,4.0,63.7,71.0,1900.0,DA6,1995,18060,6,Barnehurst,1.19335,52900,6,4,19.5775206048277
{CF4B3314-2986-44AD-AD86-2B323C8E1EAC},81500,1995-02-10 00:00,DA6 7AP,T,F,12,,OAKLANDS CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,558.219178082192,8.0,146.0,68.0,1949.0,DA6,1995,21457,5,Bexleyheath,1.26149,57100,7,2,5.55309593648251
{1B2AAF2B-E9A3-40FD-910E-D40EAB6B9DD9},76000,1995-02-20 00:00,DA6 8NX,S,F,30,,IZANE ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,874.669121878237,5.0,86.89,49.0,1900.0,DA6,1995,15534,5,Bexleyheath,1.02325,57100,5,3,11.4213083023794
{2A289E9D-5945-CDC8-E050-A8C063054829},42000,1995-02-27 00:00,DA6 7NT,F,L,CAREY COURT,FLAT 20,GRAVEL HILL CLOSE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,875.0,2.0,48.0,57.0,1975.0,DA6,1995,21389,6,Bexley,1.1293,61900,7,2,6.44081176867532
{2A289E9D-7B70-CDC8-E050-A8C063054829},46000,1995-02-28 00:00,DA6 8ES,F,L,ROBERT COURT,FLAT 6,CROOK LOG,,BEXLEYHEATH,BEXLEY,GREATER LONDON,936.558351657301,2.0,49.116,66.0,1990.0,DA6,1995,23070,5,Bexleyheath,0.657842,60200,8,5,21.8763944977181
{2A289E9C-D95A-CDC8-E050-A8C063054829},46000,1995-02-28 00:00,DA6 7AL,S,F,74,,OAKLANDS ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,534.883720930233,5.0,86.0,46.0,1900.0,DA6,1995,21457,5,Bexleyheath,1.23427,57100,7,1b,3.91271166028565
{93D33BDC-6108-490F-8B42-8AC708A722DF},76000,1995-03-10 00:00,DA6 8BN,F,L,"SHIRLEY HEIGHTS, 14",9,CROOK LOG,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1027.02702702703,3.0,74.0,63.0,1975.0,DA6,1995,24683,5,Bexleyheath,0.536149,57100,8,5,23.3556607092928
{3A7D489C-968B-4D10-A09E-3C9931D20CB5},195000,1995-03-13 00:00,DA6 7PA,D,F,30,,BROOMFIELD ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1101.69491525424,6.0,177.0,31.0,1949.0,DA6,1995,21389,6,Bexley,1.16239,61900,7,2,6.07515885663491
{2A289E9E-2294-CDC8-E050-A8C063054829},43000,1995-03-17 00:00,DA6 7AY,F,L,17,,TRINITY PLACE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,728.813559322034,4.0,59.0,64.0,1966.0,DA6,1995,15534,5,Bexleyheath,0.689643,57100,5,5,22.8543839302919
{DA3614BB-EAAA-4CB9-9074-117921E30133},63995,1995-03-29 00:00,DA6 7PE,S,L,12,,THE MOUNT,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,842.039473684211,3.0,76.0,58.0,1975.0,DA6,1995,21389,6,Bexley,1.12762,61900,7,2,6.79992963397129
{1DEC93CF-752F-4A98-B725-55F2BAB9D1B3},95000,1995-03-31 00:00,DA6 8BS,T,F,30,,CROOK LOG,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,979.381443298969,4.0,97.0,65.0,1975.0,DA6,1995,23070,5,Bexleyheath,0.562204,60200,8,3,11.9760164190372
{2A289E9F-280A-CDC8-E050-A8C063054829},42000,1995-04-13 00:00,DA6 8BT,F,L,30,,REGENCY WAY,,BEXLEYHEATH,BEXLEY,GREATER LONDON,1166.66666666667,2.0,36.0,40.0,1982.0,DA6,1995,25359,5,Bexleyheath,0.495074,57100,8,3,11.9760164190372
{BEA06BE8-6874-4FF8-85F7-61102FF357B5},54000,1995-04-27 00:00,DA6 8DL,F,L,"LOUISE COURT, 11",FLAT 5,DEVONSHIRE ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,965.665236051502,3.0,55.92,45.0,1975.0,DA6,1995,15534,5,Bexleyheath,0.70079,57100,5,3,13.5037804153361
{4584B6BE-A244-497B-B648-90A010ACCD8A},57500,1995-04-27 00:00,DA6 7AN,T,F,3,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,756.578947368421,4.0,76.0,57.0,1929.0,DA6,1995,15534,5,Bexleyheath,1.0155,57100,5,3,11.9592463545923
{C58FD7CB-C410-4554-9BCF-2C8E8FC93C7A},88750,1995-04-27 00:00,DA6 8BT,S,F,19,,REGENCY WAY,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1008.52272727273,4.0,88.0,60.0,1982.0,DA6,1995,25359,5,Bexleyheath,0.495074,57100,8,3,11.9760164190372
{36EE713A-4BFC-452B-9B82-C4C5B4723BCD},77000,1995-05-05 00:00,DA6 7AJ,S,F,38,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,927.710843373494,5.0,83.0,46.0,1929.0,DA6,1995,15534,5,Bexleyheath,0.991847,57100,5,2,9.23557484127098
{76CC3878-E9F5-4F90-8618-4E02ECEFB721},80000,1995-05-09 00:00,DA6 7NP,D,F,63,,MIDHURST HILL,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,975.609756097561,5.0,82.0,64.0,1966.0,DA6,1995,21389,6,Bexley,1.04683,61900,7,1b,3.34198899870389
{EDA3ABBD-1EDE-4CB3-805A-F6F3D96A4B5D},69000,1995-05-12 00:00,DA6 8BU,S,L,1,,GAINSBOROUGH SQUARE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1095.2380952381,4.0,63.0,22.0,1975.0,DA6,1995,23070,5,Bexleyheath,0.587088,60200,8,3,11.3661896358362
{2A289E9E-232B-CDC8-E050-A8C063054829},47000,1995-05-17 00:00,DA6 8EL,F,L,39,,BRUNSWICK ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,810.344827586207,3.0,58.0,60.0,1949.0,DA6,1995,23070,5,Bexleyheath,0.731767,60200,8,4,19.767350490408
{74174E60-2F4C-42F4-B5ED-6BFC6A50FD44},105000,1995-05-18 00:00,DA6 7LU,D,F,8,,WARREN ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1206.89655172414,5.0,87.0,59.0,1949.0,DA6,1995,21457,5,Bexleyheath,1.32969,57100,7,3,14.5040508947877
{A9E48964-A0D2-4641-9B13-9B480F51C433},120000,1995-05-18 00:00,DA6 7PT,S,F,82,,GRAVEL HILL,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,875.912408759124,7.0,137.0,57.0,1966.0,DA6,1995,21389,6,Bexley,1.25089,61900,7,2,7.79387835683029
{2C15794A-AB88-4C90-8B2D-D3372F9ECAAF},50500,1995-05-19 00:00,DA6 7NT,F,L,CAREY COURT,FLAT 35,GRAVEL HILL CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,901.785714285714,3.0,56.0,61.0,1975.0,DA6,1995,21389,6,Bexley,1.1293,61900,7,2,6.44081176867532
{1518282C-A85E-467F-A418-2581AE118155},82500,1995-05-22 00:00,DA6 7QH,S,F,120,,WATLING STREET,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1100.58697972252,5.0,74.96,57.0,1929.0,DA6,1995,8888,6,Barnehurst,1.22323,52900,3,1b,4.57033976446743
{2A289E9D-1391-CDC8-E050-A8C063054829},47500,1995-05-24 00:00,DA6 8LP,F,L,37,,SUNLAND AVENUE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,1155.15564202335,2.0,41.12,70.0,1990.0,DA6,1995,23027,5,Bexleyheath,0.955513,60200,8,3,10.1201606063078
{2A289E9F-BCDE-CDC8-E050-A8C063054829},47000,1995-05-25 00:00,DA6 7HG,T,F,26,,ROYAL OAK ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,546.511627906977,5.0,86.0,72.0,1929.0,DA6,1995,21457,5,Bexleyheath,1.08699,57100,7,4,19.2541973476544
{E31BD57B-90B6-4AF6-BF6B-EA7F7A12B060},80000,1995-05-31 00:00,DA6 8EW,S,F,HUGUENOT,,BRUNSWICK CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1269.84126984127,4.0,63.0,54.0,1949.0,DA6,1995,25359,5,Bexleyheath,0.688512,57100,8,5,21.8763944977181
{2A289E9C-D9F3-CDC8-E050-A8C063054829},40000,1995-05-31 00:00,DA6 8NX,T,F,12,,IZANE ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,439.56043956044,4.0,91.0,56.0,1929.0,DA6,1995,15534,5,Bexleyheath,1.02325,57100,5,3,11.4213083023794
{2A289E9E-B65D-CDC8-E050-A8C063054829},50000,1995-05-31 00:00,DA6 8BZ,F,L,LANGMORE COURT,15,HANOVER WAY,,BEXLEYHEATH,BEXLEY,GREATER LONDON,834.863917181499,3.0,59.89,67.0,1975.0,DA6,1995,23070,5,Bexleyheath,0.594044,60200,8,4,18.6437033450641
{2A289E9F-BAE7-CDC8-E050-A8C063054829},39000,1995-06-09 00:00,DA6 8EP,F,L,6,,ROBINA CLOSE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,573.529411764706,3.0,68.0,71.0,1949.0,DA6,1995,23070,5,Bexleyheath,0.79218,60200,8,4,18.4921952646215
{803D9F5B-EE1F-48BF-97DA-603E6552E70F},68000,1995-06-12 00:00,DA6 7AJ,S,F,46,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,764.044943820225,5.0,89.0,36.0,1900.0,DA6,1995,15534,5,Bexleyheath,0.991847,57100,5,2,9.23557484127098
{56DB0FD3-A19B-4202-96DF-6453AF7A06AC},52500,1995-06-16 00:00,DA6 8DL,F,L,"LOUISE COURT, 11",FLAT 6,DEVONSHIRE ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,905.172413793103,3.0,58.0,79.0,1990.0,DA6,1995,15534,5,Bexleyheath,0.70079,57100,5,3,13.5037804153361
{2A289E9E-1AD4-CDC8-E050-A8C063054829},50000,1995-06-16 00:00,DA6 8AQ,T,F,32,,HARCOURT ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,735.294117647059,4.0,68.0,55.0,1900.0,DA6,1995,24683,5,Bexleyheath,0.507165,57100,8,5,23.4241222138985
{A85D148B-ADA5-43E9-8190-9F34CE8FF7EA},67500,1995-06-30 00:00,DA6 8EG,F,L,TURNPIKE COURT,FLAT 4,CROOK LOG,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,688.775510204082,4.0,98.0,65.0,1975.0,DA6,1995,23070,5,Bexleyheath,0.616928,60200,8,5,21.8763944977181
{2A289E9F-0ECA-CDC8-E050-A8C063054829},43000,1995-06-30 00:00,DA6 8JW,S,F,10,,MOUNT ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,544.303797468354,5.0,79.0,41.0,1929.0,DA6,1995,25379,5,Bexleyheath,1.21749,60200,8,1b,2.67910920913052
{2A289E9E-E1D2-CDC8-E050-A8C063054829},50000,1995-06-30 00:00,DA6 8DZ,F,L,"ARUNDEL COURT, 1",FLAT 2,CROOK LOG,,BEXLEYHEATH,BEXLEY,GREATER LONDON,837.380673254061,3.0,59.71,73.0,1966.0,DA6,1995,25359,5,Bexleyheath,0.595911,57100,8,5,23.3556607092928
{2A289E9C-F7E5-CDC8-E050-A8C063054829},50000,1995-06-30 00:00,DA6 7HP,F,L,84,,HORSHAM ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,755.287009063444,3.0,66.2,61.0,1966.0,DA6,1995,21389,6,Bexley,1.09883,61900,7,1b,3.25160600177363
{8835D51B-BFCF-4D9E-AF6B-1712CB6B4D7D},59995,1995-07-07 00:00,DA6 7HG,T,F,34,,ROYAL OAK ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,674.252641042931,4.0,88.98,66.0,1900.0,DA6,1995,21457,5,Bexleyheath,1.08699,57100,7,4,19.2541973476544
{2A289E9F-61DF-CDC8-E050-A8C063054829},48000,1995-07-14 00:00,DA6 7NT,F,L,CAREY COURT,FLAT 23,GRAVEL HILL CLOSE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,784.05749754982,2.0,61.22,64.0,1975.0,DA6,1995,21389,6,Bexley,1.1293,61900,7,2,6.44081176867532
{C324CA10-16A7-4C73-9EAD-A99D7AFDEB9F},65000,1995-07-14 00:00,DA6 8LJ,S,F,5,,LEWIN ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,706.521739130435,4.0,92.0,49.0,1929.0,DA6,1995,25379,5,Bexleyheath,0.981038,60200,8,3,12.7803314289412
{221C1831-4DB8-4CBB-80CC-749A6B38A023},63500,1995-07-21 00:00,DA6 8ES,F,L,ROBERT COURT,FLAT 7,CROOK LOG,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1221.15384615385,3.0,52.0,75.0,1982.0,DA6,1995,23070,5,Bexleyheath,0.657842,60200,8,5,21.8763944977181
{24E0CA01-D68B-4295-9A75-17F229112154},76000,1995-07-24 00:00,DA6 8LY,T,F,187,,UPTON ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,767.676767676768,5.0,99.0,50.0,1949.0,DA6,1995,25379,6,Bexley,1.32027,60200,8,1b,3.82755677388974
{D4325E6E-9018-4BCB-B99C-8BDB6A8654DF},51500,1995-07-24 00:00,DA6 8PF,F,L,60,,LION ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1011.78781925344,3.0,50.9,56.0,1949.0,DA6,1995,25379,5,Bexleyheath,1.00442,60200,8,3,13.5591077483594
{3184ACEB-F858-49E4-9545-E2603E92FF5E},59999,1995-07-31 00:00,DA6 8HY,T,F,20,,IVERHURST CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1034.46551724138,3.0,58.0,69.0,1975.0,DA6,1995,24292,5,Bexleyheath,1.16319,60200,8,1b,3.12102381224917
{79175186-CD81-477A-97C2-3EE3CA1605AE},87000,1995-08-04 00:00,DA6 8JB,T,F,1,,TIMOTHY CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1182.0652173913,4.0,73.6,64.0,1990.0,DA6,1995,23027,5,Bexleyheath,1.0129,60200,8,3,10.6199034575425
{901B8BC7-BC05-44E5-8DCC-007B38F9FA2F},162000,1995-08-07 00:00,DA6 8HN,D,F,44,,BEAN ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1057.92463919545,8.0,153.13,49.0,1929.0,DA6,1995,23070,5,Bexleyheath,1.04628,60200,8,1b,2.79749756615797
{BBE00675-228F-4349-9A80-676946906023},120000,1995-08-16 00:00,DA6 7AN,S,F,9,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1174.85803798708,5.0,102.14,39.0,1949.0,DA6,1995,15534,5,Bexleyheath,1.0155,57100,5,3,11.9592463545923
{56052726-61AA-4110-9260-1B6FD26334A1},58000,1995-08-17 00:00,DA6 8LL,F,L,7,,ROBIN HOOD LANE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,876.132930513595,3.0,66.2,69.0,1966.0,DA6,1995,25379,5,Bexleyheath,1.09606,60200,8,3,12.7215140121429
{19D04A73-A83E-4185-BD66-D2D2D514F0A7},156000,1995-08-25 00:00,DA6 8HB,S,F,20A,,DANSON ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,912.280701754386,9.0,171.0,56.0,1929.0,DA6,1995,23070,5,Bexleyheath,0.964896,60200,8,2,8.66197138380573
{9FFE5C67-76B6-4AC2-B779-D79F0C4FB476},79000,1995-08-25 00:00,DA6 7NP,S,F,67,,MIDHURST HILL,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,831.578947368421,4.0,95.0,59.0,1949.0,DA6,1995,21389,6,Bexley,1.04683,61900,7,1b,3.34198899870389
{5930EC90-80B9-4B82-9634-72A66F25B4D0},56000,1995-08-25 00:00,DA6 8PG,T,F,119,,LION ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,630.630630630631,5.0,88.8,51.0,1929.0,DA6,1995,15534,5,Bexleyheath,1.02627,57100,5,3,13.5591077483594
{5BA3A69B-C5B2-4ED9-AB31-F1CADBE139C7},72000,1995-08-25 00:00,DA6 8PG,T,F,101,,LION ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,757.894736842105,5.0,95.0,63.0,1929.0,DA6,1995,15534,5,Bexleyheath,1.02627,57100,5,3,13.5591077483594
{46ABE9CE-1138-4BFC-B014-78615A8A342A},70500,1995-08-29 00:00,DA6 8JB,T,F,20,,TIMOTHY CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1119.04761904762,3.0,63.0,53.0,1995.0,DA6,1995,23027,5,Bexleyheath,1.0129,60200,8,3,10.6199034575425
{2A289E9C-DA37-CDC8-E050-A8C063054829},49000,1995-08-31 00:00,DA6 8DS,S,F,8,,DEVONSHIRE ROAD,,BEXLEYHEATH,BEXLEY,GREATER LONDON,434.281662678366,7.0,112.83,58.0,1929.0,DA6,1995,15534,5,Bexleyheath,0.681208,57100,5,5,22.2544242632585
{99756B6C-CDA5-4ABC-9979-72CF41915CD3},81000,1995-08-31 00:00,DA6 8EH,S,F,51,,DALLIN ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,890.697162964592,5.0,90.94,50.0,1949.0,DA6,1995,23070,5,Bexleyheath,0.778527,60200,8,4,18.4921952646215
{4AA13BE0-C3F6-4F7D-8073-4857C05E2649},52000,1995-08-31 00:00,DA6 7QD,S,F,176,,HALCOT AVENUE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,468.088936898011,6.0,111.09,50.0,1966.0,DA6,1995,8888,6,Crayford,1.34758,52900,3,2,6.30708187162466
{0D76FCC7-FC27-4A13-A478-E20190B4FE3D},60000,1995-08-31 00:00,DA6 7BH,T,F,1,,BANKS LANE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,912.394884506014,3.0,65.761,45.0,1929.0,DA6,1995,15534,5,Bexleyheath,0.727511,57100,5,4,15.4466353992005
{73B6DF9B-4158-4591-A197-0DDB4A40D383},55000,1995-09-08 00:00,DA6 7PU,F,L,CHRISTIE HOUSE,FLAT 4,GRAVEL HILL CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,862.068965517241,3.0,63.8,62.0,1975.0,DA6,1995,21389,6,Bexley,1.16395,61900,7,2,8.82458083696746
{D5776E34-306B-4DD5-82BF-253FAD1989AB},62000,1995-09-15 00:00,DA6 8DP,T,F,41,,STANDARD ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,738.095238095238,4.0,84.0,54.0,1929.0,DA6,1995,23027,5,Bexleyheath,0.762247,60200,8,4,15.2172915831812
{CB4B7ADC-2AC0-4065-B239-16DA291CD0C1},64000,1995-09-20 00:00,DA6 8HT,S,F,78,,ALERS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,920.069005175388,3.0,69.56,69.0,1982.0,DA6,1995,24292,5,Bexleyheath,1.3735,60200,8,1b,3.35358624448114
{D771C9F3-EA20-4260-97F8-8F6B398D21CE},93000,1995-09-22 00:00,DA6 8EN,S,F,34,,BRUNSWICK ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1000.0,5.0,93.0,58.0,1949.0,DA6,1995,25359,5,Bexleyheath,0.682409,57100,8,4,19.767350490408
{58526289-E4B8-4F2B-A607-287B201B8BF5},85000,1995-09-29 00:00,DA6 7QL,S,F,91,,WATLING STREET,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,752.212389380531,5.0,113.0,75.0,1949.0,DA6,1995,8888,6,Barnehurst,1.26358,52900,3,1b,3.30198705445607
{F108367A-722D-4862-95B0-58683F247E51},56500,1995-09-29 00:00,DA6 8EP,F,L,6,,ROBINA CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,830.882352941176,3.0,68.0,71.0,1949.0,DA6,1995,23070,5,Bexleyheath,0.79218,60200,8,4,18.4921952646215
{552002F3-60F5-49D3-B7A7-281C2B780128},71000,1995-09-29 00:00,DA6 8LJ,S,F,3,,LEWIN ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,796.85746352413,4.0,89.1,39.0,1900.0,DA6,1995,25379,5,Bexleyheath,0.981038,60200,8,3,12.7803314289412
{55B0AA27-DB41-4994-A22A-6284F0309DDA},53500,1995-10-06 00:00,DA6 7LA,F,L,"KINGSLEY COURT, 21",FLAT 14,PINCOTT ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1381.35812032017,2.0,38.73,30.0,1949.0,DA6,1995,21457,5,Bexleyheath,1.37593,57100,7,4,19.7292784594412
{334F86AF-FEFC-4715-BA9A-6A5C70B83FA3},68000,1995-10-06 00:00,DA6 8LQ,S,F,19,,UPTON ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,680.204061218365,3.0,99.97,42.0,1929.0,DA6,1995,23027,5,Bexleyheath,0.722436,60200,8,3,12.9780462871863
{2A289E9F-B67E-CDC8-E050-A8C063054829},45000,1995-10-20 00:00,DA6 8LP,F,L,39A,,SUNLAND AVENUE,,BEXLEYHEATH,BEXLEY,GREATER LONDON,133.53115727003,2.0,337.0,81.0,1995.0,DA6,1995,23027,5,Bexleyheath,0.955513,60200,8,3,10.1201606063078
{9FB0D270-AB45-4300-8DD8-5F2B7083BDA5},57995,1995-10-26 00:00,DA6 8BJ,F,L,"WHITEHAVEN COURT, 22",FLAT 10,CROOK LOG,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1035.625,2.0,56.0,80.0,1990.0,DA6,1995,25359,5,Bexleyheath,0.553115,57100,8,5,23.3556607092928
{A1A9571E-5DCC-49BD-99A3-D94C0CD48AF2},58500,1995-10-27 00:00,DA6 8DS,T,F,12,,DEVONSHIRE ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,596.938775510204,6.0,98.0,43.0,1900.0,DA6,1995,15534,5,Bexleyheath,0.681208,57100,5,5,22.2544242632585
{DC442A3C-2D60-488A-8070-C4F88D7B7F2A},90500,1995-10-27 00:00,DA6 8LY,S,F,153,,UPTON ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,607.38255033557,7.0,149.0,70.0,1949.0,DA6,1995,25379,6,Bexley,1.32027,60200,8,1b,3.82755677388974
{72DE474C-9330-495A-935D-44CF8B891E23},54500,1995-11-09 00:00,DA6 7PP,F,L,11,,ROSSLAND CLOSE,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,726.666666666667,3.0,75.0,71.0,1966.0,DA6,1995,21457,6,Bexley,1.36019,57100,7,2,8.74566457178975
{74BE654D-4F5C-4D23-A7C5-4A63996FB440},70000,1995-11-10 00:00,DA6 7AW,T,F,65,,OAKLANDS ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,786.516853932584,3.0,89.0,42.0,1929.0,DA6,1995,21457,5,Bexleyheath,1.19058,57100,7,1b,3.16337291393092
{17EA886F-B277-4D8D-BCF0-8B1563555AAC},74000,1995-11-10 00:00,DA6 8JS,T,F,36,,MOUNT ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,745.892551154118,5.0,99.21,52.0,1929.0,DA6,1995,23027,5,Bexleyheath,1.29792,60200,8,1b,2.88867708358045
{38B45F1A-B453-4958-9308-4EF6F11FA79B},75000,1995-11-10 00:00,DA6 8NF,T,F,2,,PADDOCK ROAD,BEXLEYHEATH,BEXLEYHEATH,BEXLEY,GREATER LONDON,1182.96529968454,5.0,63.4,52.0,1900.0,DA6,1995,23027,5,Bexleyheath,0.819041,60200,8,3,12.5900483729125
