ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix
{45A25A5F-D0EA-4391-80DF-57E08E23F90A},60000,1995-04-12 00:00,CR7 6AF,T,N,F,1,,WHITEHALL ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,697.674418604651,1995.0,1995-04-12,T,F,60000.0,CR7 6AF,E09000008,{45A25A5F-D0EA-4391-80DF-57E08E23F90A},19165528.0,86.0,6.0,11.0,50.0,79.0,England and Wales: 1900-1929,697.674418604651,6.0,86.0,50.0,England and Wales: 1900-1929,CR7
{04B4013A-3AAE-4D7E-906A-50BB52EA2004},56500,1995-09-20 00:00,CR7 8HG,T,N,F,47,,WINDSOR ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,706.25,1995.0,1995-09-20,T,F,56500.0,CR7 8HG,E09000008,{04B4013A-3AAE-4D7E-906A-50BB52EA2004},19211995.0,80.0,5.0,11.0,67.0,86.0,England and Wales: 1930-1949,706.25,5.0,80.0,67.0,England and Wales: 1930-1949,CR7
{8603700F-A0AF-4D4B-8DF6-57E24BF3AC3F},58000,1995-07-28 00:00,CR7 8QR,T,N,F,69,,HYTHE ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,630.434782608696,1995.0,1995-07-28,T,F,58000.0,CR7 8QR,E09000008,{8603700F-A0AF-4D4B-8DF6-57E24BF3AC3F},19223808.0,92.0,5.0,11.0,62.0,82.0,England and Wales: 1900-1929,630.434782608696,5.0,92.0,62.0,England and Wales: 1900-1929,CR7
{02829D24-A085-44B4-A59A-4175759F58A7},64000,1995-03-24 00:00,CR7 7PX,S,N,F,99,,LANGDALE ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,423.841059602649,1995.0,1995-03-24,S,F,64000.0,CR7 7PX,E09000008,{02829D24-A085-44B4-A59A-4175759F58A7},19184412.0,151.0,5.0,11.0,54.0,80.0,England and Wales: 1900-1929,423.841059602649,5.0,151.0,54.0,England and Wales: 1900-1929,CR7
{C6020534-D163-42B0-8920-489F23499DD8},57500,1995-09-29 00:00,CR7 6BS,S,N,F,14,,KESTON ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,726.468730259002,1995.0,1995-09-29,S,F,57500.0,CR7 6BS,E09000008,{C6020534-D163-42B0-8920-489F23499DD8},19190798.0,79.15,5.0,11.0,55.0,63.0,England and Wales: 1900-1929,726.468730259002,5.0,79.15,55.0,England and Wales: 1900-1929,CR7
{8F8EB3B9-52B8-4C78-93EB-8EA4D21F400D},68000,1995-10-27 00:00,CR7 8BQ,S,N,F,57,,HIGHBURY AVENUE,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,331.707317073171,1995.0,1995-10-27,S,F,68000.0,CR7 8BQ,E09000008,{8F8EB3B9-52B8-4C78-93EB-8EA4D21F400D},19092665.0,205.0,6.0,11.0,47.0,83.0,England and Wales: 1930-1949,331.707317073171,6.0,205.0,47.0,England and Wales: 1930-1949,CR7
{99B16165-473C-4D6B-8D6F-4D62203ECC2A},73000,1995-10-27 00:00,CR7 6HP,T,N,F,6,,KIRKLEES ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,675.925925925926,1995.0,1995-10-27,T,F,73000.0,CR7 6HP,E09000008,{99B16165-473C-4D6B-8D6F-4D62203ECC2A},19202643.0,108.0,5.0,12.0,69.0,86.0,England and Wales: 1930-1949,675.925925925926,5.0,108.0,69.0,England and Wales: 1930-1949,CR7
{AB2CACA0-F9AC-48CC-BC06-7A70F444466B},60000,1995-05-26 00:00,CR7 8RN,S,N,F,32,,CASSLAND ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,431.654676258993,1995.0,1995-05-26,S,F,60000.0,CR7 8RN,E09000008,{AB2CACA0-F9AC-48CC-BC06-7A70F444466B},19188169.0,139.0,8.0,12.0,52.0,80.0,England and Wales: 1900-1929,431.654676258993,8.0,139.0,52.0,England and Wales: 1900-1929,CR7
{4E9469A7-95FE-4555-9E69-6FCBD50E54F9},69000,1995-07-26 00:00,CR7 7QZ,T,N,F,131,,WINTERBOURNE ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,690.0,1995.0,1995-07-26,T,F,69000.0,CR7 7QZ,E09000008,{4E9469A7-95FE-4555-9E69-6FCBD50E54F9},19166346.0,100.0,5.0,11.0,43.0,79.0,England and Wales: 1900-1929,690.0,5.0,100.0,43.0,England and Wales: 1900-1929,CR7
{1E659423-8DD3-4007-BBA5-735C0918DD08},56000,1995-11-24 00:00,CR7 6JW,T,N,F,116,,LEANDER ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,619.469026548673,1995.0,1995-11-24,T,F,56000.0,CR7 6JW,E09000008,{1E659423-8DD3-4007-BBA5-735C0918DD08},19167981.0,90.4,5.0,12.0,67.0,72.0,England and Wales: 1930-1949,619.469026548673,5.0,90.4,67.0,England and Wales: 1930-1949,CR7
{879C95A6-0F66-402E-B07F-879B623D4E04},65500,1995-03-31 00:00,CR7 8NS,T,N,F,67,,MERSHAM ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,789.441966976015,1995.0,1995-03-31,T,F,65500.0,CR7 8NS,E09000008,{879C95A6-0F66-402E-B07F-879B623D4E04},19128101.0,82.97,5.0,12.0,58.0,64.0,England and Wales: 1930-1949,789.441966976015,5.0,82.97,58.0,England and Wales: 1930-1949,CR7
{0254CEB8-D095-45C1-AA2E-58377EEBFE78},62000,1995-06-14 00:00,CR7 6BT,T,N,F,17,,KESTON ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,756.09756097561,1995.0,1995-06-14,T,F,62000.0,CR7 6BT,E09000008,{0254CEB8-D095-45C1-AA2E-58377EEBFE78},19208238.0,82.0,5.0,11.0,60.0,88.0,England and Wales: 1930-1949,756.09756097561,5.0,82.0,60.0,England and Wales: 1930-1949,CR7
{5D4515EB-346C-4F1C-8BEF-737E29BF0847},62500,1995-01-27 00:00,CR7 7AX,T,N,F,18,,SANDRINGHAM ROAD,THORNTON HEATH,THORNTON HEATH,CROYDON,GREATER LONDON,801.282051282051,1995.0,1995-01-27,T,F,62500.0,CR7 7AX,E09000008,{5D4515EB-346C-4F1C-8BEF-737E29BF0847},19218678.0,78.0,6.0,11.0,68.0,86.0,England and Wales: 1930-1949,801.282051282051,6.0,78.0,68.0,England and Wales: 1930-1949,CR7
